lat,lon,tu
58.7047607222607,-111.050862611111,85.2633589060915
58.7049804444444,-111.050276666667,83.2736196326344
58.7049723055139,-111.050292944444,81.9751713550383
58.7049560277863,-111.050309222222,80.5890328556754
58.7049723055139,-111.050309222222,80.3698820532906
58.7049723055139,-111.050309222222,80.1547790078406
58.7049804444444,-111.050309222222,79.9431421024422
58.7049885833249,-111.050292944444,79.9431421024422
58.7053466666667,-111.049837222222,70.921180131931
58.7057047500189,-111.049300111026,69.9873039912074
58.7060139722374,-111.048730444444,70.0000119757542
58.7063476388889,-111.048063138973,70.0241116332023
58.7064453055407,-111.047932916667,70.1666846957334
58.7065104166667,-111.047802722345,70.3246714717807
58.7065917777778,-111.04765625,70.8218333201555
58.7097656110217,-111.088085916693,114.039999870795
58.7096516666667,-111.088850888889,114.787199046485
58.7096760833198,-111.091227194425,118.147803608806
58.7098307221322,-111.095166,119.530841813658
58.7096760833198,-111.099527972222,111.857989322483
58.70977375,-111.100585916667,111.857989322483
58.7097493333333,-111.101334611111,111.857989322483
58.7097656110217,-111.101822888889,111.232982479861
58.7098144444444,-111.103613277778,109.908979311287
58.7098388610763,-111.104036444444,109.210313206021
58.7098307221322,-111.105045555556,105.361190637414
58.7098551388889,-111.105615222222,104.519748940001
58.7097656110217,-111.106835916693,102.771416874968
58.710319,-111.112695305564,77.6183446906615
58.6959146944502,-110.985188777778,58.0074007794721
58.6958414444444,-110.985351555556,59.1464337688565
58.6958414444444,-110.985367833333,59.9489662169233
58.6955403611259,-110.985904944444,60.2925836787273
58.6948893055555,-110.98709308332,60.4661575257018
58.6948811665917,-110.9871256389,61.5272267641812
58.69296875,-110.98859047223,63.4539495605448
58.692903638933,-110.988753250008,63.5942831244667
58.6925781111111,-110.989208972211,63.7308970794777
58.6922607222607,-110.989485666667,63.9902746646884
58.6918701111111,-110.989827472213,64.1082007003892
58.6915120277778,-110.990348305541,64.1082007003892
58.6912271944249,-110.991178361083,64.9116073072591
58.6912841666667,-110.991308583333,64.7460776500411
58.6913492777528,-110.991308583333,64.0706383811265
58.6914225,-110.991406222222,63.2925570387566
58.6913981111111,-110.991585277778,62.8114688437364
58.6912597499871,-110.992529277814,62.406961527114
58.690014638907,-110.993863916636,61.9380080310827
58.6885253888889,-111.055338527769,151.425483815379
58.6886311666982,-111.055403638933,145.687409938909
58.4261881388337,-111.25001625,118.716440645833
58.4258137777778,-111.239225250005,100.299232501558
58.4247802499657,-111.238932277778,102.013154994072
58.4249023333333,-111.237776666667,104.698725377869
58.4247639722134,-111.237695305564,104.698725377869
58.4254475833901,-111.239143861119,111.537230402757
58.425472,-111.238932277778,111.381448266234
58.425472,-111.238932277778,111.317150081115
58.4254801388889,-111.238932277778,111.244855813638
58.4254475833901,-111.239143861119,111.244855813638
58.4254231667197,-111.239192694453,111.244855813638
58.4254231667197,-111.239176416609,111.244855813638
58.4254231667197,-111.239176416609,111.163182492077
58.4254231667197,-111.239176416609,111.163182492077
58.4254231667197,-111.239176416609,111.163182492077
58.4254313055475,-111.239176416609,111.07372403268
58.4254313055475,-111.239176416609,110.976092404121
58.4254231667197,-111.239143861119,110.750820146266
58.4254231667197,-111.239127583314,109.858085767594
58.4256184722222,-111.239257805547,106.341917733006
58.4237792777201,-111.242822250017,31.8060002331173
58.4237060277619,-111.243001277778,31.8060002331173
58.4235676944887,-111.24335936112,31.8060002331173
58.4234944444444,-111.243587222222,31.8060002331173
58.4229736111111,-111.2453124722,28.0867979112495
58.422387694459,-111.245963527733,26.6855659946333
58.4215983055644,-111.247705055591,13.1145362298731
58.4212483611051,-111.247998027778,9.48895709506756
58.4213785555556,-111.248144527763,6.04018998364629
58.4214273889274,-111.248128250027,5.87266632232079
58.4214599444775,-111.248063138973,5.87266632232079
58.4214436666667,-111.247916666667,5.87266632232079
58.4214192500266,-111.247705055591,5.8261337673778
58.4213948333086,-111.247688777639,5.8261337673778
58.4213297499731,-111.247721333333,5.8261337673778
58.4213297499731,-111.247705055591,5.8261337673778
58.4212483611051,-111.247802722345,5.8261337673778
58.4211995278019,-111.247867833333,5.78330214946059
58.4211832499856,-111.247900388973,5.78330214946059
58.4210856111398,-111.248665361066,5.76872648366247
58.4210611944533,-111.248746722197,5.76872648366247
58.4209960833523,-111.248860666667,5.76872648366247
58.4208495833333,-111.248697916667,5.95089930396027
58.4208984166725,-111.24847002777,6.3689075454285
58.4209635277778,-111.248697916667,6.3689075454285
58.4209716666667,-111.248697916667,6.3689075454285
58.4210042222222,-111.248714166667,6.40077091673123
58.4210774722369,-111.248632805511,6.40077091673123
58.4212076666667,-111.248486305567,6.43284268758372
58.4212158055556,-111.24847002777,6.43284268758372
